"Statistic Label","Year","Age Group","Sex","Education Attainment Level","UNIT","VALUE"
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","%","13.6"
"Annual percentage of part-time work","2020","40 - 44 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Male","Levels of Education (Levels  0-8)","%","4.3"
"Annual percentage of part-time work","2020","40 - 44 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","6.3"
"Annual percentage of part-time work","2020","40 - 44 years","Male","Tertiary education (Levels 5-8)","%","2.5"
"Annual percentage of part-time work","2020","40 - 44 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Female","Levels of Education (Levels  0-8)","%","27.6"
"Annual percentage of part-time work","2020","40 - 44 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","%","40.5"
"Annual percentage of part-time work","2020","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","36.4"
"Annual percentage of part-time work","2020","40 - 44 years","Female","Tertiary education (Levels 5-8)","%","23.6"
"Annual percentage of part-time work","2020","40 - 44 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","%","15"
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","18"
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","17.2"
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","%","13.4"
"Annual percentage of part-time work","2020","45 - 49 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Male","Levels of Education (Levels  0-8)","%","4.3"
"Annual percentage of part-time work","2020","45 - 49 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","%","7.7"
"Annual percentage of part-time work","2020","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","4.5"
"Annual percentage of part-time work","2020","45 - 49 years","Male","Tertiary education (Levels 5-8)","%","3.2"
"Annual percentage of part-time work","2020","45 - 49 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Female","Levels of Education (Levels  0-8)","%","27.9"
"Annual percentage of part-time work","2020","45 - 49 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","%","43.1"
"Annual percentage of part-time work","2020","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.4"
"Annual percentage of part-time work","2020","45 - 49 years","Female","Tertiary education (Levels 5-8)","%","23.5"
"Annual percentage of part-time work","2020","45 - 49 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","%","17.2"
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","20.5"
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","20.5"
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","%","13.9"
"Annual percentage of part-time work","2020","50 - 54 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Male","Levels of Education (Levels  0-8)","%","6.7"
"Annual percentage of part-time work","2020","50 - 54 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","%","10.6"
"Annual percentage of part-time work","2020","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","8.1"
"Annual percentage of part-time work","2020","50 - 54 years","Male","Tertiary education (Levels 5-8)","%","3.7"
"Annual percentage of part-time work","2020","50 - 54 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Female","Levels of Education (Levels  0-8)","%","29.7"
"Annual percentage of part-time work","2020","50 - 54 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","%","50.7"
"Annual percentage of part-time work","2020","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","34.7"
"Annual percentage of part-time work","2020","50 - 54 years","Female","Tertiary education (Levels 5-8)","%","23.6"
"Annual percentage of part-time work","2020","50 - 54 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","%","19"
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","22.3"
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","22.2"
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","%","14.9"
"Annual percentage of part-time work","2020","55 - 59 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Male","Levels of Education (Levels  0-8)","%","9.3"
"Annual percentage of part-time work","2020","55 - 59 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","%","12.9"
"Annual percentage of part-time work","2020","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","8.8"
"Annual percentage of part-time work","2020","55 - 59 years","Male","Tertiary education (Levels 5-8)","%","7.6"
"Annual percentage of part-time work","2020","55 - 59 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Female","Levels of Education (Levels  0-8)","%","30.5"
"Annual percentage of part-time work","2020","55 - 59 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","%","44.6"
"Annual percentage of part-time work","2020","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","35.7"
"Annual percentage of part-time work","2020","55 - 59 years","Female","Tertiary education (Levels 5-8)","%","22"
"Annual percentage of part-time work","2020","55 - 59 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","%","26.4"
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","25.5"
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","26.1"
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","%","27.4"
"Annual percentage of part-time work","2020","60 - 64 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Male","Levels of Education (Levels  0-8)","%","16.2"
"Annual percentage of part-time work","2020","60 - 64 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","%","17.2"
"Annual percentage of part-time work","2020","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","14.8"
"Annual percentage of part-time work","2020","60 - 64 years","Male","Tertiary education (Levels 5-8)","%","16.3"
"Annual percentage of part-time work","2020","60 - 64 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Female","Levels of Education (Levels  0-8)","%","40.7"
"Annual percentage of part-time work","2020","60 - 64 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2020","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","%","44.8"
"Annual percentage of part-time work","2020","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","40.4"
"Annual percentage of part-time work","2020","60 - 64 years","Female","Tertiary education (Levels 5-8)","%","39.5"
"Annual percentage of part-time work","2020","60 - 64 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","All ages","Both sexes","Levels of Education (Levels  0-8)","%","18.1"
"Annual percentage of part-time work","2021","All ages","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","%","21.4"
"Annual percentage of part-time work","2021","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","25.3"
"Annual percentage of part-time work","2021","All ages","Both sexes","Tertiary education (Levels 5-8)","%","13.4"
"Annual percentage of part-time work","2021","All ages","Both sexes","Level of education - not stated","%","15.2"
"Annual percentage of part-time work","2021","All ages","Male","Levels of Education (Levels  0-8)","%","9.2"
"Annual percentage of part-time work","2021","All ages","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","All ages","Male","Primary and lower secondary education (Levels 1-2)","%","12.8"
"Annual percentage of part-time work","2021","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","13.1"
"Annual percentage of part-time work","2021","All ages","Male","Tertiary education (Levels 5-8)","%","5.8"
"Annual percentage of part-time work","2021","All ages","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","All ages","Female","Levels of Education (Levels  0-8)","%","28.1"
"Annual percentage of part-time work","2021","All ages","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","All ages","Female","Primary and lower secondary education (Levels 1-2)","%","47.1"
"Annual percentage of part-time work","2021","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","41.2"
"Annual percentage of part-time work","2021","All ages","Female","Tertiary education (Levels 5-8)","%","20.3"
"Annual percentage of part-time work","2021","All ages","Female","Level of education - not stated","%","24.9"
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","%","39.3"
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","46.2"
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","%","30"
"Annual percentage of part-time work","2021","20 - 24 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Male","Levels of Education (Levels  0-8)","%","31.2"
"Annual percentage of part-time work","2021","20 - 24 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","35.5"
"Annual percentage of part-time work","2021","20 - 24 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Female","Levels of Education (Levels  0-8)","%","47.8"
"Annual percentage of part-time work","2021","20 - 24 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","60.5"
"Annual percentage of part-time work","2021","20 - 24 years","Female","Tertiary education (Levels 5-8)","%","34.4"
"Annual percentage of part-time work","2021","20 - 24 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","%","12.5"
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","20.9"
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","%","8.7"
"Annual percentage of part-time work","2021","25 - 29 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Male","Levels of Education (Levels  0-8)","%","12.9"
"Annual percentage of part-time work","2021","25 - 29 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Female","Levels of Education (Levels  0-8)","%","12"
"Annual percentage of part-time work","2021","25 - 29 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","25 - 29 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","%","10.5"
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","18.6"
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","%","6.3"
"Annual percentage of part-time work","2021","30 - 34 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Female","Levels of Education (Levels  0-8)","%","16.6"
"Annual percentage of part-time work","2021","30 - 34 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Female","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","30 - 34 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","%","13.1"
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","19.7"
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","%","10.1"
"Annual percentage of part-time work","2021","35 - 39 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Female","Levels of Education (Levels  0-8)","%","22.3"
"Annual percentage of part-time work","2021","35 - 39 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","39.4"
"Annual percentage of part-time work","2021","35 - 39 years","Female","Tertiary education (Levels 5-8)","%","14.8"
"Annual percentage of part-time work","2021","35 - 39 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","%","15.5"
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","19.8"
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","%","12.8"
"Annual percentage of part-time work","2021","40 - 44 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Levels of Education (Levels  0-8)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Female","Levels of Education (Levels  0-8)","%","28.5"
"Annual percentage of part-time work","2021","40 - 44 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","41.5"
"Annual percentage of part-time work","2021","40 - 44 years","Female","Tertiary education (Levels 5-8)","%","21.3"
"Annual percentage of part-time work","2021","40 - 44 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","%","16"
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","21"
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","%","13.2"
"Annual percentage of part-time work","2021","45 - 49 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Male","Levels of Education (Levels  0-8)","%","6.5"
"Annual percentage of part-time work","2021","45 - 49 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Female","Levels of Education (Levels  0-8)","%","26.7"
"Annual percentage of part-time work","2021","45 - 49 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","39.6"
"Annual percentage of part-time work","2021","45 - 49 years","Female","Tertiary education (Levels 5-8)","%","22.2"
"Annual percentage of part-time work","2021","45 - 49 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","%","17.4"
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","21.3"
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","%","14.5"
"Annual percentage of part-time work","2021","50 - 54 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Male","Levels of Education (Levels  0-8)","%","5.6"
"Annual percentage of part-time work","2021","50 - 54 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Female","Levels of Education (Levels  0-8)","%","31.4"
"Annual percentage of part-time work","2021","50 - 54 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","50 - 54 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","38.1"
"Annual percentage of part-time work","2021","50 - 54 years","Female","Tertiary education (Levels 5-8)","%","25.4"
"Annual percentage of part-time work","2021","50 - 54 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Levels of Education (Levels  0-8)","%","21.9"
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","24.9"
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","23.1"
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","%","19.8"
"Annual percentage of part-time work","2021","55 - 59 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Male","Levels of Education (Levels  0-8)","%","9.1"
"Annual percentage of part-time work","2021","55 - 59 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Female","Levels of Education (Levels  0-8)","%","36.9"
"Annual percentage of part-time work","2021","55 - 59 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","38.9"
"Annual percentage of part-time work","2021","55 - 59 years","Female","Tertiary education (Levels 5-8)","%","31.7"
"Annual percentage of part-time work","2021","55 - 59 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","%","29.3"
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","28.3"
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","28.5"
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","%","30.4"
"Annual percentage of part-time work","2021","60 - 64 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Male","Levels of Education (Levels  0-8)","%","16.2"
"Annual percentage of part-time work","2021","60 - 64 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Male","Tertiary education (Levels 5-8)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Male","Level of education - not stated","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Female","Levels of Education (Levels  0-8)","%","46.1"
"Annual percentage of part-time work","2021","60 - 64 years","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2021","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","47.5"
"Annual percentage of part-time work","2021","60 - 64 years","Female","Tertiary education (Levels 5-8)","%","47.4"
"Annual percentage of part-time work","2021","60 - 64 years","Female","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","All ages","Both sexes","Levels of Education (Levels  0-8)","%","17.8"
"Annual percentage of part-time work","2022","All ages","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","%","22"
"Annual percentage of part-time work","2022","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","25.1"
"Annual percentage of part-time work","2022","All ages","Both sexes","Tertiary education (Levels 5-8)","%","13.1"
"Annual percentage of part-time work","2022","All ages","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2022","All ages","Male","Levels of Education (Levels  0-8)","%","8.8"
"Annual percentage of part-time work","2022","All ages","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2022","All ages","Male","Primary and lower secondary education (Levels 1-2)","%","11.4"
"Annual percentage of part-time work","2022","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","12.5"
"Annual percentage of part-time work","2022","All ages","Male","Tertiary education (Levels 5-8)","%","5.7"
