"Statistic Label","Quarter","Sex","Education Attainment Level","Age Group","UNIT","VALUE"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","20 - 24 years","%","79.6"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","25 - 29 years","%","84.1"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","25 - 54 years","%","87"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","30 - 34 years","%","86.6"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","35 - 39 years","%","89"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","40 - 44 years","%","86.8"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","45 - 49 years","%","87.2"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","50 - 54 years","%","87.7"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","55 - 59 years","%","80.9"
"Employment rate","2019Q3","Both sexes","Tertiary education (Levels 5-8)","60 - 64 years","%","55.9"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","All ages","%","72.5"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q3","Both sexes","Level of education - not stated","25 - 29 years","%","86.9"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","25 - 54 years","%","78.6"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","30 - 34 years","%","78.9"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","35 - 39 years","%","72.7"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","40 - 44 years","%","75.4"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","45 - 49 years","%","78.7"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","50 - 54 years","%","79.1"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","55 - 59 years","%","56.7"
"Employment rate","2019Q3","Both sexes","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","All ages","%","81.4"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","20 - 24 years","%","69"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","25 - 29 years","%","82.5"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","25 - 54 years","%","86.5"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","30 - 34 years","%","87"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","35 - 39 years","%","89.7"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","40 - 44 years","%","87.4"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","45 - 49 years","%","86.3"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","50 - 54 years","%","85"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","55 - 59 years","%","77.6"
"Employment rate","2019Q3","Male","Levels of Education (Levels  0-8)","60 - 64 years","%","59.3"
"Employment rate","2019Q3","Male","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q3","Male","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","All ages","%","65"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%","58.6"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","68.5"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","60"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","71.4"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","67.9"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","73.4"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","69.2"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","69.8"
"Employment rate","2019Q3","Male","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","57.3"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","80.9"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","68.6"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","82.2"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","86.9"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","86.4"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","90.7"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","86.6"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","87.3"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","87"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","77.5"
"Employment rate","2019Q3","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","60.9"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","All ages","%","89"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","20 - 24 years","%","82.2"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","25 - 29 years","%","86.4"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","25 - 54 years","%","92.1"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","30 - 34 years","%","92"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","35 - 39 years","%","93.8"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","40 - 44 years","%","93.2"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","45 - 49 years","%","93.2"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","50 - 54 years","%","93.5"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","55 - 59 years","%","85.3"
"Employment rate","2019Q3","Male","Tertiary education (Levels 5-8)","60 - 64 years","%","58.9"
"Employment rate","2019Q3","Male","Level of education - not stated","All ages","%","79.2"
"Employment rate","2019Q3","Male","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","25 - 29 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","25 - 54 years","%","85"
"Employment rate","2019Q3","Male","Level of education - not stated","30 - 34 years","%","94.7"
"Employment rate","2019Q3","Male","Level of education - not stated","35 - 39 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","40 - 44 years","%","87.3"
"Employment rate","2019Q3","Male","Level of education - not stated","45 - 49 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","50 - 54 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q3","Male","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","All ages","%","68.2"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","20 - 24 years","%","63.5"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","25 - 29 years","%","72.3"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","25 - 54 years","%","72.7"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","30 - 34 years","%","73.7"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","35 - 39 years","%","74.9"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","40 - 44 years","%","73.5"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","45 - 49 years","%","72.1"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","50 - 54 years","%","68.6"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","55 - 59 years","%","60.7"
"Employment rate","2019Q3","Female","Levels of Education (Levels  0-8)","60 - 64 years","%","46"
"Employment rate","2019Q3","Female","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q3","Female","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","All ages","%","36.9"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%",""
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","38.4"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%",""
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","37.5"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","37.5"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","38"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","41.5"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","41.6"
"Employment rate","2019Q3","Female","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","31.6"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","63.5"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","61.3"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","60.9"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","66.1"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","66.2"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","65.7"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","68.9"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","68.3"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","65.8"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","59.7"
"Employment rate","2019Q3","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","52.4"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","All ages","%","80.4"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","20 - 24 years","%","77.1"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","25 - 29 years","%","82.1"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","25 - 54 years","%","82.8"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","30 - 34 years","%","82.1"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","35 - 39 years","%","85.3"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","40 - 44 years","%","81.9"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","45 - 49 years","%","82.3"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","50 - 54 years","%","82.4"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","55 - 59 years","%","76.8"
"Employment rate","2019Q3","Female","Tertiary education (Levels 5-8)","60 - 64 years","%","53.6"
"Employment rate","2019Q3","Female","Level of education - not stated","All ages","%","65.6"
"Employment rate","2019Q3","Female","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","25 - 29 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","25 - 54 years","%","72.1"
"Employment rate","2019Q3","Female","Level of education - not stated","30 - 34 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","35 - 39 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","40 - 44 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","45 - 49 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","50 - 54 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q3","Female","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","All ages","%","75.5"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","20 - 24 years","%","64.9"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","25 - 29 years","%","80.4"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","25 - 54 years","%","80.3"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","30 - 34 years","%","80.8"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","35 - 39 years","%","81.2"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","40 - 44 years","%","81.3"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","45 - 49 years","%","80.5"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","50 - 54 years","%","77.2"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","55 - 59 years","%","70.7"
"Employment rate","2019Q4","Both sexes","Levels of Education (Levels  0-8)","60 - 64 years","%","54.3"
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q4","Both sexes","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","All ages","%","52.5"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%","51.1"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","55.3"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","43.3"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","51.1"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","53.9"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","59.4"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","60.8"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","57.4"
"Employment rate","2019Q4","Both sexes","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","45.2"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","72.9"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","61.6"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","74.4"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","77.4"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","76.2"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","78.2"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","78.5"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","79.6"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","77"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","73.2"
"Employment rate","2019Q4","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","60.1"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","All ages","%","85.5"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","20 - 24 years","%","81.6"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","25 - 29 years","%","87.4"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","25 - 54 years","%","88.1"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","30 - 34 years","%","89.3"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","35 - 39 years","%","88.7"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","40 - 44 years","%","87.8"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","45 - 49 years","%","88.2"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","50 - 54 years","%","86.6"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","55 - 59 years","%","79.8"
"Employment rate","2019Q4","Both sexes","Tertiary education (Levels 5-8)","60 - 64 years","%","59.7"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","All ages","%","74.2"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q4","Both sexes","Level of education - not stated","25 - 29 years","%","84.9"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","25 - 54 years","%","79.9"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","30 - 34 years","%","79.7"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","35 - 39 years","%","80.9"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","40 - 44 years","%","81"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","45 - 49 years","%","86.1"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","50 - 54 years","%","65.9"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","55 - 59 years","%","70.1"
"Employment rate","2019Q4","Both sexes","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","All ages","%","81.8"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","20 - 24 years","%","65.5"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","25 - 29 years","%","83.1"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","25 - 54 years","%","87.1"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","30 - 34 years","%","88.6"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","35 - 39 years","%","88.2"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","40 - 44 years","%","89"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","45 - 49 years","%","87.4"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","50 - 54 years","%","85.3"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","55 - 59 years","%","78.8"
"Employment rate","2019Q4","Male","Levels of Education (Levels  0-8)","60 - 64 years","%","62.7"
"Employment rate","2019Q4","Male","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q4","Male","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","All ages","%","64.1"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%",""
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%",""
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","67.2"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","57.7"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","61.8"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","66.2"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","69.8"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","72.7"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","69.1"
"Employment rate","2019Q4","Male","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","56.3"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","81.1"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","63.7"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","80.2"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","87.1"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","87.5"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","35 - 39 years","%","89.1"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","40 - 44 years","%","89.2"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","45 - 49 years","%","88.4"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","50 - 54 years","%","87.8"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","55 - 59 years","%","82"
"Employment rate","2019Q4","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","60 - 64 years","%","68.4"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","All ages","%","90"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","20 - 24 years","%","80.2"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","25 - 29 years","%","87.7"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","25 - 54 years","%","93.1"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","30 - 34 years","%","95"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","35 - 39 years","%","93.7"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","40 - 44 years","%","94.3"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","45 - 49 years","%","94.2"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","50 - 54 years","%","92.4"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","55 - 59 years","%","85.3"
"Employment rate","2019Q4","Male","Tertiary education (Levels 5-8)","60 - 64 years","%","64.8"
"Employment rate","2019Q4","Male","Level of education - not stated","All ages","%","84.2"
"Employment rate","2019Q4","Male","Level of education - not stated","20 - 24 years","%",""
"Employment rate","2019Q4","Male","Level of education - not stated","25 - 29 years","%",""
"Employment rate","2019Q4","Male","Level of education - not stated","25 - 54 years","%","86.7"
"Employment rate","2019Q4","Male","Level of education - not stated","30 - 34 years","%","87.3"
"Employment rate","2019Q4","Male","Level of education - not stated","35 - 39 years","%","92.5"
"Employment rate","2019Q4","Male","Level of education - not stated","40 - 44 years","%","85"
"Employment rate","2019Q4","Male","Level of education - not stated","45 - 49 years","%",""
"Employment rate","2019Q4","Male","Level of education - not stated","50 - 54 years","%",""
"Employment rate","2019Q4","Male","Level of education - not stated","55 - 59 years","%",""
"Employment rate","2019Q4","Male","Level of education - not stated","60 - 64 years","%",""
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","All ages","%","69.3"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","20 - 24 years","%","64.2"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","25 - 29 years","%","77.7"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","25 - 54 years","%","73.8"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","30 - 34 years","%","73.5"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","35 - 39 years","%","74.6"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","40 - 44 years","%","73.9"
"Employment rate","2019Q4","Female","Levels of Education (Levels  0-8)","45 - 49 years","%","73.7"
