Quarter,Sex,Education Attainment Level,Age Group,Employment_Rate,Unemployment_Rate,Long_term_Unemployment_Rate
2020Q3,Female,Level of education - not stated,45 - 49 years,,,
2020Q3,Female,Level of education - not stated,50 - 54 years,,,
2020Q3,Female,Level of education - not stated,55 - 59 years,,,
2020Q3,Female,Level of education - not stated,55 - 74 years,,,
2020Q3,Female,Level of education - not stated,60 - 64 years,,,
2020Q3,Female,Level of education - not stated,All ages,61.3,,
2020Q3,Female,Levels of Education (Levels  0-8),15 - 24 years,,19.8,
2020Q3,Female,Levels of Education (Levels  0-8),20 - 24 years,59.1,,
2020Q3,Female,Levels of Education (Levels  0-8),25 - 29 years,68.2,,
2020Q3,Female,Levels of Education (Levels  0-8),25 - 54 years,69.4,6.4,1.3
2020Q3,Female,Levels of Education (Levels  0-8),30 - 34 years,66.8,,
2020Q3,Female,Levels of Education (Levels  0-8),35 - 39 years,70.1,,
2020Q3,Female,Levels of Education (Levels  0-8),40 - 44 years,72.5,,
2020Q3,Female,Levels of Education (Levels  0-8),45 - 49 years,69.4,,
2020Q3,Female,Levels of Education (Levels  0-8),50 - 54 years,68.6,,
2020Q3,Female,Levels of Education (Levels  0-8),55 - 59 years,62.6,,
2020Q3,Female,Levels of Education (Levels  0-8),55 - 74 years,,4.9,
2020Q3,Female,Levels of Education (Levels  0-8),60 - 64 years,40.8,,
2020Q3,Female,Levels of Education (Levels  0-8),All ages,65.2,7.9,1.6
2020Q3,Female,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),25 - 54 years,33.6,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),35 - 39 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),40 - 44 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),45 - 49 years,41.9,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),50 - 54 years,35.4,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),55 - 59 years,36.5,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),60 - 64 years,27.1,,
2020Q3,Female,Primary and lower secondary education (Levels 1-2),All ages,33.1,11.7,
2020Q3,Female,Tertiary education (Levels 5-8),15 - 24 years,,16.0,
2020Q3,Female,Tertiary education (Levels 5-8),20 - 24 years,70.8,,
2020Q3,Female,Tertiary education (Levels 5-8),25 - 29 years,79.3,,
2020Q3,Female,Tertiary education (Levels 5-8),25 - 54 years,79.9,6.2,
2020Q3,Female,Tertiary education (Levels 5-8),30 - 34 years,78.2,,
2020Q3,Female,Tertiary education (Levels 5-8),35 - 39 years,79.8,,
2020Q3,Female,Tertiary education (Levels 5-8),40 - 44 years,82.3,,
2020Q3,Female,Tertiary education (Levels 5-8),45 - 49 years,77.5,,
2020Q3,Female,Tertiary education (Levels 5-8),50 - 54 years,82.2,,
2020Q3,Female,Tertiary education (Levels 5-8),55 - 59 years,74.8,,
2020Q3,Female,Tertiary education (Levels 5-8),55 - 74 years,,,
2020Q3,Female,Tertiary education (Levels 5-8),60 - 64 years,50.6,,
2020Q3,Female,Tertiary education (Levels 5-8),All ages,77.3,6.6,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,20.7,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,52.9,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,53.2,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,60.1,6.2,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,51.2,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,60.8,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,63.1,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,65.3,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,63.9,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,65.9,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,5.7,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,44.9,,
2020Q3,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,58.2,9.3,2.6
2020Q3,Male,Less than primary (Level 0),15 - 24 years,,,
2020Q3,Male,Less than primary (Level 0),20 - 24 years,,,
2020Q3,Male,Less than primary (Level 0),25 - 29 years,,,
2020Q3,Male,Less than primary (Level 0),25 - 54 years,,,
2020Q3,Male,Less than primary (Level 0),30 - 34 years,,,
2020Q3,Male,Less than primary (Level 0),35 - 39 years,,,
2020Q3,Male,Less than primary (Level 0),40 - 44 years,,,
2020Q3,Male,Less than primary (Level 0),45 - 49 years,,,
2020Q3,Male,Less than primary (Level 0),50 - 54 years,,,
2020Q3,Male,Less than primary (Level 0),55 - 59 years,,,
2020Q3,Male,Less than primary (Level 0),55 - 74 years,,,
2020Q3,Male,Less than primary (Level 0),60 - 64 years,,,
2020Q3,Male,Less than primary (Level 0),All ages,,,
2020Q3,Male,Level of education - not stated,15 - 24 years,,,
2020Q3,Male,Level of education - not stated,20 - 24 years,,,
2020Q3,Male,Level of education - not stated,25 - 29 years,,,
2020Q3,Male,Level of education - not stated,25 - 54 years,80.3,,
2020Q3,Male,Level of education - not stated,30 - 34 years,,,
2020Q3,Male,Level of education - not stated,35 - 39 years,,,
2020Q3,Male,Level of education - not stated,40 - 44 years,,,
2020Q3,Male,Level of education - not stated,45 - 49 years,,,
2020Q3,Male,Level of education - not stated,50 - 54 years,,,
2020Q3,Male,Level of education - not stated,55 - 59 years,,,
2020Q3,Male,Level of education - not stated,55 - 74 years,,,
2020Q3,Male,Level of education - not stated,60 - 64 years,,,
2020Q3,Male,Level of education - not stated,All ages,74.5,,
2020Q3,Male,Levels of Education (Levels  0-8),15 - 24 years,,21.9,
2020Q3,Male,Levels of Education (Levels  0-8),20 - 24 years,56.2,,
2020Q3,Male,Levels of Education (Levels  0-8),25 - 29 years,78.8,,
2020Q3,Male,Levels of Education (Levels  0-8),25 - 54 years,84.5,5.3,1.0
2020Q3,Male,Levels of Education (Levels  0-8),30 - 34 years,83.9,,
2020Q3,Male,Levels of Education (Levels  0-8),35 - 39 years,87.3,,
2020Q3,Male,Levels of Education (Levels  0-8),40 - 44 years,87.1,,
2020Q3,Male,Levels of Education (Levels  0-8),45 - 49 years,86.4,,
2020Q3,Male,Levels of Education (Levels  0-8),50 - 54 years,81.8,,
2020Q3,Male,Levels of Education (Levels  0-8),55 - 59 years,74.1,,
2020Q3,Male,Levels of Education (Levels  0-8),55 - 74 years,,4.4,
2020Q3,Male,Levels of Education (Levels  0-8),60 - 64 years,61.0,,
2020Q3,Male,Levels of Education (Levels  0-8),All ages,78.3,7.0,1.3
2020Q3,Male,Primary and lower secondary education (Levels 1-2),15 - 24 years,,34.3,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),25 - 54 years,65.7,8.3,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),30 - 34 years,64.3,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),35 - 39 years,62.2,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),40 - 44 years,66.9,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),45 - 49 years,67.1,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),50 - 54 years,71.2,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),55 - 59 years,64.3,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),60 - 64 years,52.2,,
2020Q3,Male,Primary and lower secondary education (Levels 1-2),All ages,61.2,10.1,
2020Q3,Male,Tertiary education (Levels 5-8),15 - 24 years,,,
2020Q3,Male,Tertiary education (Levels 5-8),20 - 24 years,65.1,,
2020Q3,Male,Tertiary education (Levels 5-8),25 - 29 years,84.0,,
2020Q3,Male,Tertiary education (Levels 5-8),25 - 54 years,90.6,4.4,
2020Q3,Male,Tertiary education (Levels 5-8),30 - 34 years,90.7,,
2020Q3,Male,Tertiary education (Levels 5-8),35 - 39 years,94.1,,
2020Q3,Male,Tertiary education (Levels 5-8),40 - 44 years,92.3,,
2020Q3,Male,Tertiary education (Levels 5-8),45 - 49 years,93.2,,
2020Q3,Male,Tertiary education (Levels 5-8),50 - 54 years,87.6,,
2020Q3,Male,Tertiary education (Levels 5-8),55 - 59 years,82.0,,
2020Q3,Male,Tertiary education (Levels 5-8),55 - 74 years,,,
2020Q3,Male,Tertiary education (Levels 5-8),60 - 64 years,65.9,,
2020Q3,Male,Tertiary education (Levels 5-8),All ages,87.0,5.0,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,19.9,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,55.5,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,75.9,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,83.3,5.7,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,80.3,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,86.7,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,85.7,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,86.5,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,82.3,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,75.2,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,67.4,,
2020Q3,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,76.1,8.3,1.5
2020Q4,Both sexes,Less than primary (Level 0),15 - 24 years,,,
2020Q4,Both sexes,Less than primary (Level 0),20 - 24 years,,,
2020Q4,Both sexes,Less than primary (Level 0),25 - 29 years,,,
2020Q4,Both sexes,Less than primary (Level 0),25 - 54 years,,,
2020Q4,Both sexes,Less than primary (Level 0),30 - 34 years,,,
2020Q4,Both sexes,Less than primary (Level 0),35 - 39 years,,,
2020Q4,Both sexes,Less than primary (Level 0),40 - 44 years,,,
2020Q4,Both sexes,Less than primary (Level 0),45 - 49 years,,,
2020Q4,Both sexes,Less than primary (Level 0),50 - 54 years,,,
2020Q4,Both sexes,Less than primary (Level 0),55 - 59 years,,,
2020Q4,Both sexes,Less than primary (Level 0),55 - 74 years,,,
2020Q4,Both sexes,Less than primary (Level 0),60 - 64 years,,,
2020Q4,Both sexes,Less than primary (Level 0),All ages,,,
2020Q4,Both sexes,Level of education - not stated,15 - 24 years,,,
2020Q4,Both sexes,Level of education - not stated,20 - 24 years,,,
2020Q4,Both sexes,Level of education - not stated,25 - 29 years,84.7,,
2020Q4,Both sexes,Level of education - not stated,25 - 54 years,71.6,,
2020Q4,Both sexes,Level of education - not stated,30 - 34 years,,,
2020Q4,Both sexes,Level of education - not stated,35 - 39 years,73.0,,
2020Q4,Both sexes,Level of education - not stated,40 - 44 years,62.6,,
2020Q4,Both sexes,Level of education - not stated,45 - 49 years,78.0,,
2020Q4,Both sexes,Level of education - not stated,50 - 54 years,66.2,,
2020Q4,Both sexes,Level of education - not stated,55 - 59 years,80.9,,
2020Q4,Both sexes,Level of education - not stated,55 - 74 years,,,
2020Q4,Both sexes,Level of education - not stated,60 - 64 years,,,
2020Q4,Both sexes,Level of education - not stated,All ages,68.8,9.7,
2020Q4,Both sexes,Levels of Education (Levels  0-8),15 - 24 years,,14.3,
2020Q4,Both sexes,Levels of Education (Levels  0-8),20 - 24 years,56.3,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),25 - 29 years,74.6,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),25 - 54 years,78.1,5.1,1.5
2020Q4,Both sexes,Levels of Education (Levels  0-8),30 - 34 years,78.1,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),35 - 39 years,78.9,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),40 - 44 years,80.3,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),45 - 49 years,79.4,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),50 - 54 years,76.1,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),55 - 59 years,70.2,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),55 - 74 years,,4.1,1.8
2020Q4,Both sexes,Levels of Education (Levels  0-8),60 - 64 years,51.3,,
2020Q4,Both sexes,Levels of Education (Levels  0-8),All ages,72.6,5.9,1.5
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 54 years,54.9,7.4,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),30 - 34 years,58.0,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),35 - 39 years,48.9,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),40 - 44 years,56.1,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),45 - 49 years,58.7,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),50 - 54 years,59.7,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 59 years,56.5,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 74 years,,4.6,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),60 - 64 years,41.1,,
2020Q4,Both sexes,Primary and lower secondary education (Levels 1-2),All ages,51.6,7.3,2.9
2020Q4,Both sexes,Tertiary education (Levels 5-8),15 - 24 years,,15.2,
2020Q4,Both sexes,Tertiary education (Levels 5-8),20 - 24 years,69.6,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),25 - 29 years,83.4,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),25 - 54 years,86.2,3.9,
2020Q4,Both sexes,Tertiary education (Levels 5-8),30 - 34 years,86.8,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),35 - 39 years,87.0,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),40 - 44 years,86.2,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),45 - 49 years,87.2,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),50 - 54 years,86.4,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),55 - 59 years,77.9,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),55 - 74 years,,4.2,
2020Q4,Both sexes,Tertiary education (Levels 5-8),60 - 64 years,59.2,,
2020Q4,Both sexes,Tertiary education (Levels 5-8),All ages,82.9,4.6,0.8
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,12.9,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,50.9,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,64.8,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,72.9,6.4,2.5
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,69.9,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,73.2,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,78.6,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,75.6,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,72.7,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,71.0,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,3.6,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,55.0,,
2020Q4,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,67.3,7.0,2.2
2020Q4,Female,Less than primary (Level 0),15 - 24 years,,,
2020Q4,Female,Less than primary (Level 0),20 - 24 years,,,
2020Q4,Female,Less than primary (Level 0),25 - 29 years,,,
2020Q4,Female,Less than primary (Level 0),25 - 54 years,,,
2020Q4,Female,Less than primary (Level 0),30 - 34 years,,,
2020Q4,Female,Less than primary (Level 0),35 - 39 years,,,
2020Q4,Female,Less than primary (Level 0),40 - 44 years,,,
2020Q4,Female,Less than primary (Level 0),45 - 49 years,,,
2020Q4,Female,Less than primary (Level 0),50 - 54 years,,,
2020Q4,Female,Less than primary (Level 0),55 - 59 years,,,
2020Q4,Female,Less than primary (Level 0),55 - 74 years,,,
2020Q4,Female,Less than primary (Level 0),60 - 64 years,,,
2020Q4,Female,Less than primary (Level 0),All ages,,,
2020Q4,Female,Level of education - not stated,15 - 24 years,,,
2020Q4,Female,Level of education - not stated,20 - 24 years,,,
2020Q4,Female,Level of education - not stated,25 - 29 years,,,
2020Q4,Female,Level of education - not stated,25 - 54 years,67.3,,
2020Q4,Female,Level of education - not stated,30 - 34 years,,,
2020Q4,Female,Level of education - not stated,35 - 39 years,,,
2020Q4,Female,Level of education - not stated,40 - 44 years,,,
2020Q4,Female,Level of education - not stated,45 - 49 years,,,
2020Q4,Female,Level of education - not stated,50 - 54 years,,,
2020Q4,Female,Level of education - not stated,55 - 59 years,,,
2020Q4,Female,Level of education - not stated,55 - 74 years,,,
2020Q4,Female,Level of education - not stated,60 - 64 years,,,
2020Q4,Female,Level of education - not stated,All ages,62.4,,
2020Q4,Female,Levels of Education (Levels  0-8),15 - 24 years,,15.1,
2020Q4,Female,Levels of Education (Levels  0-8),20 - 24 years,55.9,,
2020Q4,Female,Levels of Education (Levels  0-8),25 - 29 years,71.9,,
2020Q4,Female,Levels of Education (Levels  0-8),25 - 54 years,71.9,4.6,1.2
2020Q4,Female,Levels of Education (Levels  0-8),30 - 34 years,72.2,,
2020Q4,Female,Levels of Education (Levels  0-8),35 - 39 years,71.0,,
2020Q4,Female,Levels of Education (Levels  0-8),40 - 44 years,73.6,,
2020Q4,Female,Levels of Education (Levels  0-8),45 - 49 years,72.2,,
2020Q4,Female,Levels of Education (Levels  0-8),50 - 54 years,70.1,,
2020Q4,Female,Levels of Education (Levels  0-8),55 - 59 years,64.0,,
2020Q4,Female,Levels of Education (Levels  0-8),55 - 74 years,,4.0,
2020Q4,Female,Levels of Education (Levels  0-8),60 - 64 years,42.6,,
2020Q4,Female,Levels of Education (Levels  0-8),All ages,66.8,5.7,1.2
2020Q4,Female,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),25 - 54 years,37.6,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),30 - 34 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),35 - 39 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),40 - 44 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),45 - 49 years,42.4,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),50 - 54 years,38.5,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),55 - 59 years,40.6,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),60 - 64 years,26.9,,
2020Q4,Female,Primary and lower secondary education (Levels 1-2),All ages,35.3,9.0,
2020Q4,Female,Tertiary education (Levels 5-8),15 - 24 years,,,
2020Q4,Female,Tertiary education (Levels 5-8),20 - 24 years,70.9,,
2020Q4,Female,Tertiary education (Levels 5-8),25 - 29 years,81.6,,
2020Q4,Female,Tertiary education (Levels 5-8),25 - 54 years,82.2,3.4,
2020Q4,Female,Tertiary education (Levels 5-8),30 - 34 years,82.8,,
2020Q4,Female,Tertiary education (Levels 5-8),35 - 39 years,82.0,,
2020Q4,Female,Tertiary education (Levels 5-8),40 - 44 years,81.6,,
2020Q4,Female,Tertiary education (Levels 5-8),45 - 49 years,82.3,,
2020Q4,Female,Tertiary education (Levels 5-8),50 - 54 years,83.5,,
2020Q4,Female,Tertiary education (Levels 5-8),55 - 59 years,74.2,,
2020Q4,Female,Tertiary education (Levels 5-8),55 - 74 years,,,
2020Q4,Female,Tertiary education (Levels 5-8),60 - 64 years,52.1,,
2020Q4,Female,Tertiary education (Levels 5-8),All ages,79.2,4.3,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),15 - 24 years,,12.7,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),20 - 24 years,48.2,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 29 years,56.3,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),25 - 54 years,61.9,7.0,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),30 - 34 years,57.7,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),35 - 39 years,57.8,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),40 - 44 years,66.4,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),45 - 49 years,64.3,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),50 - 54 years,66.2,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 59 years,66.1,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),55 - 74 years,,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),60 - 64 years,48.0,,
2020Q4,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),All ages,58.8,7.2,2.0
2020Q4,Male,Less than primary (Level 0),15 - 24 years,,,
2020Q4,Male,Less than primary (Level 0),20 - 24 years,,,
2020Q4,Male,Less than primary (Level 0),25 - 29 years,,,
2020Q4,Male,Less than primary (Level 0),25 - 54 years,,,
2020Q4,Male,Less than primary (Level 0),30 - 34 years,,,
2020Q4,Male,Less than primary (Level 0),35 - 39 years,,,
2020Q4,Male,Less than primary (Level 0),40 - 44 years,,,
2020Q4,Male,Less than primary (Level 0),45 - 49 years,,,
2020Q4,Male,Less than primary (Level 0),50 - 54 years,,,
2020Q4,Male,Less than primary (Level 0),55 - 59 years,,,
2020Q4,Male,Less than primary (Level 0),55 - 74 years,,,
2020Q4,Male,Less than primary (Level 0),60 - 64 years,,,
2020Q4,Male,Less than primary (Level 0),All ages,,,
2020Q4,Male,Level of education - not stated,15 - 24 years,,,
2020Q4,Male,Level of education - not stated,20 - 24 years,,,
2020Q4,Male,Level of education - not stated,25 - 29 years,,,
2020Q4,Male,Level of education - not stated,25 - 54 years,75.1,,
2020Q4,Male,Level of education - not stated,30 - 34 years,,,
2020Q4,Male,Level of education - not stated,35 - 39 years,,,
2020Q4,Male,Level of education - not stated,40 - 44 years,,,
2020Q4,Male,Level of education - not stated,45 - 49 years,,,
2020Q4,Male,Level of education - not stated,50 - 54 years,,,
2020Q4,Male,Level of education - not stated,55 - 59 years,,,
2020Q4,Male,Level of education - not stated,55 - 74 years,,,
2020Q4,Male,Level of education - not stated,60 - 64 years,,,
2020Q4,Male,Level of education - not stated,All ages,74.6,,
2020Q4,Male,Levels of Education (Levels  0-8),15 - 24 years,,13.5,
2020Q4,Male,Levels of Education (Levels  0-8),20 - 24 years,56.7,,
2020Q4,Male,Levels of Education (Levels  0-8),25 - 29 years,77.3,,
2020Q4,Male,Levels of Education (Levels  0-8),25 - 54 years,84.5,5.5,1.7
2020Q4,Male,Levels of Education (Levels  0-8),30 - 34 years,84.4,,
2020Q4,Male,Levels of Education (Levels  0-8),35 - 39 years,87.3,,
2020Q4,Male,Levels of Education (Levels  0-8),40 - 44 years,87.3,,
2020Q4,Male,Levels of Education (Levels  0-8),45 - 49 years,86.6,,
2020Q4,Male,Levels of Education (Levels  0-8),50 - 54 years,82.1,,
2020Q4,Male,Levels of Education (Levels  0-8),55 - 59 years,76.6,,
2020Q4,Male,Levels of Education (Levels  0-8),55 - 74 years,,4.2,2.0
2020Q4,Male,Levels of Education (Levels  0-8),60 - 64 years,60.4,,
2020Q4,Male,Levels of Education (Levels  0-8),All ages,78.6,6.1,1.8
2020Q4,Male,Primary and lower secondary education (Levels 1-2),15 - 24 years,,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),20 - 24 years,,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),25 - 29 years,,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),25 - 54 years,66.2,8.0,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),30 - 34 years,67.6,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),35 - 39 years,62.0,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),40 - 44 years,65.1,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),45 - 49 years,68.9,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),50 - 54 years,72.7,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),55 - 59 years,68.3,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),55 - 74 years,,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),60 - 64 years,52.5,,
2020Q4,Male,Primary and lower secondary education (Levels 1-2),All ages,63.0,6.7,3.1
2020Q4,Male,Tertiary education (Levels 5-8),15 - 24 years,,,
2020Q4,Male,Tertiary education (Levels 5-8),20 - 24 years,68.0,,
2020Q4,Male,Tertiary education (Levels 5-8),25 - 29 years,85.7,,
2020Q4,Male,Tertiary education (Levels 5-8),25 - 54 years,91.2,4.3,
2020Q4,Male,Tertiary education (Levels 5-8),30 - 34 years,91.8,,
2020Q4,Male,Tertiary education (Levels 5-8),35 - 39 years,93.5,,
2020Q4,Male,Tertiary education (Levels 5-8),40 - 44 years,92.1,,
2020Q4,Male,Tertiary education (Levels 5-8),45 - 49 years,93.0,,
2020Q4,Male,Tertiary education (Levels 5-8),50 - 54 years,89.6,,
2020Q4,Male,Tertiary education (Levels 5-8),55 - 59 years,82.2,,
2020Q4,Male,Tertiary education (Levels 5-8),55 - 74 years,,,
2020Q4,Male,Tertiary education (Levels 5-8),60 - 64 years,67.6,,
